127.0.0.1, 2018-10-26 17:04:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2018-10-26 17:04:43, POST, /web2py_start/default/add2, HTTP/1.1, 303, 0.026780
127.0.0.1, 2018-10-26 17:04:43, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.028015
127.0.0.1, 2018-10-26 17:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000449
127.0.0.1, 2018-10-26 17:04:46, GET, /web2py_start/default/add2, HTTP/1.1, 200, 0.042904
127.0.0.1, 2018-10-26 17:04:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2018-10-26 17:04:51, POST, /web2py_start/default/add2, HTTP/1.1, 303, 0.026734
127.0.0.1, 2018-10-26 17:04:51, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.026727
127.0.0.1, 2018-10-26 17:04:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2018-10-26 17:15:07, GET, /web2py_start/default/index, HTTP/1.1, 500, 0.135167
127.0.0.1, 2018-10-26 17:15:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2018-10-26 17:15:10, GET, /web2py_start/default/add2, HTTP/1.1, 200, 0.031260
127.0.0.1, 2018-10-26 17:15:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000524
127.0.0.1, 2018-10-26 17:15:12, GET, /web2py_start/default/index, HTTP/1.1, 500, 0.069129
